"Type","Experiment-Name","Parallelism","Platform","LatencyNanoS","OnCluster","InputSize","Memory"
,"exp","1","esper","785250","false","1","31834080"
,"exp","1","esper","107000","false","2","31834080"
,"exp","1","esper","89791","false","3","31834080"
,"exp","1","esper","139375","false","4","31834080"
,"exp","1","esper","195542","false","5","31834080"
,"exp","1","esper","345792","false","6","31834080"
,"exp","1","esper","600500","false","7","31834080"
,"exp","1","esper","1027958","false","8","31834080"
,"exp","1","esper","1395542","false","9","31834080"
,"exp","1","esper","1631583","false","10","32598368"
,"exp","1","esper","1708375","false","11","33414400"
,"exp","1","esper","2153875","false","12","35058984"
,"exp","1","esper","2770875","false","13","37500840"
,"exp","1","esper","5691875","false","14","44244920"
,"exp","1","esper","10747792","false","15","55889240"
,"exp","1","esper","27477083","false","16","55889240"
,"exp","1","esper","48560208","false","17","66653320"
,"exp","1","esper","82827625","false","18","98777968"
,"exp","1","esper","149598875","false","19","187192704"
,"exp","1","esper","315443625","false","20","384062976"
,"exp","1","esper","617654500","false","21","830766592"
,"exp","1","esper","1414644084","false","22","1454162944"
,"exp","1","esper","2810675250","false","23","2902425600"
,"exp","1","esper","5876009208","false","24","5716805632"
,"exp","1","esper","12296388458","false","25","10527670272"
